country,region,source,segment,type,abatement,savings (kt),cost (USD/MBtu)
Venezuela,Central and South America,Downstream gas,Downstream,Gas,Replace with electric motor,10.45,-1.8
Congo,Africa,Offshore oil,Upstream,Oil,Vapour recovery units,33.56,-1.8
Korea,Asia Pacific,Downstream gas,Downstream,Gas,Vapour recovery units,6.12,-1.79
Gabon,Africa,Onshore conventional oil,Upstream,Oil,Replace with electric motor,12.79,-1.79
Congo,Africa,Offshore oil,Upstream,Oil,Other,0.87,-1.78
Bahrain,Middle East,Downstream gas,Downstream,Gas,Replace with electric motor,1.75,-1.78
Morocco,Africa,Downstream gas,Downstream,Gas,Replace with electric motor,0.14,-1.78
Peru,Central and South America,Offshore oil,Upstream,Oil,Replace with electric motor,0.02,-1.77
Tunisia,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.35,-1.77
Bolivia,Central and South America,Onshore conventional gas,Upstream,Gas,Replace with electric motor,9.37,-1.77
Yemen,Middle East,Downstream oil,Downstream,Oil,Vapour recovery units,0.72,-1.77
Argentina,Central and South America,Downstream gas,Downstream,Gas,Replace with electric motor,12.64,-1.76
Romania,Europe,Onshore conventional gas,Upstream,Gas,Install plunger,1.5,-1.76
Niger,Africa,Onshore conventional gas,Upstream,Gas,Vapour recovery units,0.01,-1.76
Mozambique,Africa,Onshore conventional oil,Upstream,Oil,Other,0.03,-1.75
South Sudan,Africa,Onshore conventional oil,Upstream,Oil,Replace with electric motor,8.31,-1.75
Denmark,Europe,Downstream gas,Downstream,Gas,Vapour recovery units,0.01,-1.75
France,Europe,Downstream gas,Downstream,Gas,Quarterly LDAR,6.99,-1.74
France,Europe,Downstream oil,Downstream,Oil,Quarterly LDAR,0.73,-1.74
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Other,0.51,-1.74
Libya,Africa,Offshore oil,Upstream,Oil,Replace with electric motor,0.3,-1.73
United Kingdom,Europe,Offshore oil,Upstream,Oil,Replace with electric motor,0.99,-1.71
Mexico,North America,Satellite - upstream,Upstream,Gas,Daily LDAR,12.72,-1.7
Uzbekistan,Russia & Caspian,Downstream gas,Downstream,Gas,Vapour recovery units,0.35,-1.7
Italy,Europe,Downstream gas,Downstream,Gas,Vapour recovery units,0.27,-1.69
Nigeria,Africa,Downstream gas,Downstream,Gas,Replace with electric motor,7.46,-1.68
Other,Other,Onshore conventional gas,Upstream,Gas,Install plunger,1.02,-1.68
Other EU7 countries,Europe,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.29,-1.67
Other EU7 countries,Europe,Onshore conventional oil,Upstream,Oil,Other,0.43,-1.67
Mozambique,Africa,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.02,-1.67
Other EU17 countries,Europe,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.94,-1.66
Bolivia,Central and South America,Downstream gas,Downstream,Gas,Replace with electric motor,1.38,-1.65
Brazil,Central and South America,Onshore conventional oil,Upstream,Oil,Other,3.64,-1.64
Gabon,Africa,Offshore oil,Upstream,Oil,Replace with electric motor,1.31,-1.64
Other EU17 countries,Europe,Downstream gas,Downstream,Gas,Vapour recovery units,1.33,-1.64
Peru,Central and South America,Downstream oil,Downstream,Oil,Vapour recovery units,0.82,-1.64
United States,North America,Satellite - upstream,Upstream,Gas,Daily LDAR,199.36,-1.63
Malaysia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.35,-1.62
Guyana,Central and South America,Offshore oil,Upstream,Oil,Replace with electric motor,1.54,-1.62
Angola,Africa,Onshore conventional gas,Upstream,Gas,Replace with electric motor,2.5,-1.6
Other,Other,Downstream oil,Downstream,Oil,Vapour recovery units,2.55,-1.6
Trinidad and Tobago,Central and South America,Downstream oil,Downstream,Oil,Vapour recovery units,0.05,-1.6
Togo,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.05,-1.59
Other,Other,Downstream oil,Downstream,Oil,Vapour recovery units,0.53,-1.59
Other,Other,Downstream oil,Downstream,Oil,Vapour recovery units,0.18,-1.59
Algeria,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,1.68,-1.59
Cameroon,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.56,-1.59
Cote d'Ivoire,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.12,-1.59
Congo,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,0.19,-1.59
Libya,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,1.21,-1.59
Japan,Asia Pacific,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.05,-1.58
Brazil,Central and South America,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,2.5,-1.58
Azerbaijan,Russia & Caspian,Downstream gas,Downstream,Gas,Other,3.26,-1.58
New Zealand,Asia Pacific,Onshore conventional gas,Upstream,Gas,Install plunger,0.06,-1.58
Mozambique,Africa,Downstream gas,Downstream,Gas,Other,0.48,-1.57
Nigeria,Africa,Downstream gas,Downstream,Gas,Other,12.07,-1.57
Other,Other,Offshore oil,Upstream,Oil,Vapour recovery units,0.14,-1.57
Togo,Africa,Downstream gas,Downstream,Gas,Other,0.06,-1.57
Tanzania,Africa,Downstream gas,Downstream,Gas,Other,0.66,-1.57
Benin,Africa,Downstream gas,Downstream,Gas,Other,0.07,-1.57
Angola,Africa,Downstream gas,Downstream,Gas,Other,0.76,-1.57
Cameroon,Africa,Downstream gas,Downstream,Gas,Other,0.3,-1.57
Cote d'Ivoire,Africa,Downstream gas,Downstream,Gas,Other,0.66,-1.57
Congo,Africa,Downstream gas,Downstream,Gas,Other,0.49,-1.57
Ghana,Africa,Downstream gas,Downstream,Gas,Other,1,-1.57
Gabon,Africa,Downstream gas,Downstream,Gas,Other,0.29,-1.57
Equatorial Guinea,Africa,Downstream gas,Downstream,Gas,Other,0.95,-1.57
New Zealand,Asia Pacific,Offshore oil,Upstream,Oil,Associated gas utilisation,0.57,-1.56
Venezuela,Central and South America,Downstream oil,Downstream,Oil,Vapour recovery units,2.26,-1.55
Uruguay,Central and South America,Downstream oil,Downstream,Oil,Vapour recovery units,0.43,-1.54
Netherlands,Europe,Downstream oil,Downstream,Oil,Quarterly LDAR,0.06,-1.54
Netherlands,Europe,Downstream gas,Downstream,Gas,Quarterly LDAR,1.3,-1.54
Saudi Arabia,Middle East,Downstream gas,Downstream,Gas,Vapour recovery units,0.13,-1.54
Colombia,Central and South America,Downstream gas,Downstream,Gas,Other,3.12,-1.54
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Other,0.06,-1.54
Algeria,Africa,Onshore conventional gas,Upstream,Gas,Install plunger,8.44,-1.53
Algeria,Africa,Unconventional gas,Upstream,Gas,Install plunger,0.09,-1.53
Egypt,Africa,Unconventional gas,Upstream,Gas,Install plunger,0.04,-1.53
Egypt,Africa,Onshore conventional gas,Upstream,Gas,Install plunger,0.39,-1.53
Libya,Africa,Onshore conventional gas,Upstream,Gas,Install plunger,0.31,-1.53
Tunisia,Africa,Onshore conventional gas,Upstream,Gas,Install plunger,0.08,-1.53
Netherlands,Europe,Offshore gas,Upstream,Gas,Associated gas utilisation,0.85,-1.52
Netherlands,Europe,Offshore oil,Upstream,Oil,Associated gas utilisation,0.09,-1.52
Nigeria,Africa,Offshore oil,Upstream,Oil,Replace with electric motor,11.8,-1.52
Mexico,North America,Satellite - downstream,Downstream,Oil,Daily LDAR,1.6,-1.51
Other,Other,Downstream oil,Downstream,Oil,Vapour recovery units,1.12,-1.51
Syria,Middle East,Downstream oil,Downstream,Oil,Vapour recovery units,2.48,-1.51
Kazakhstan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Other,22.98,-1.51
Iraq,Middle East,Downstream oil,Downstream,Oil,Vapour recovery units,1.32,-1.51
Iran,Middle East,Downstream oil,Downstream,Oil,Vapour recovery units,3.98,-1.51
Colombia,Central and South America,Downstream oil,Downstream,Oil,Vapour recovery units,2.1,-1.51
Brunei,Asia Pacific,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.04,-1.5
United Kingdom,Europe,Unconventional gas,Upstream,Gas,Replace compressor seal or rod,0.01,-1.5
Mozambique,Africa,Onshore conventional gas,Upstream,Gas,Other,0.41,-1.5
Other,Other,Downstream oil,Downstream,Oil,Vapour recovery units,2.26,-1.49
Argentina,Central and South America,Downstream oil,Downstream,Oil,Vapour recovery units,2.48,-1.49
Australia,Asia Pacific,Onshore conventional oil,Upstream,Oil,Replace with electric motor,1.12,-1.48
Kazakhstan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,15.8,-1.48
Niger,Africa,Onshore conventional oil,Upstream,Oil,Other,1.23,-1.48
Russia,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Quarterly LDAR,245.02,-1.48
Russia,Russia & Caspian,Unconventional gas,Upstream,Gas,Quarterly LDAR,20.46,-1.48
Russia,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Quarterly LDAR,222.08,-1.48
Turkmenistan,Russia & Caspian,Offshore oil,Upstream,Oil,Associated gas utilisation,70.13,-1.46
New Zealand,Asia Pacific,Downstream oil,Downstream,Oil,Vapour recovery units,0.27,-1.46
Azerbaijan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Other,0.34,-1.46
Uzbekistan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Replace with electric motor,10.29,-1.45
United States,North America,Satellite - downstream,Downstream,Oil,Daily LDAR,465.2,-1.44
Angola,Africa,Onshore conventional gas,Upstream,Gas,Replace pumps,0.48,-1.44
Cameroon,Africa,Onshore conventional gas,Upstream,Gas,Replace pumps,0.01,-1.44
Congo,Africa,Onshore conventional gas,Upstream,Gas,Replace pumps,0.07,-1.44
Gabon,Africa,Onshore conventional gas,Upstream,Gas,Replace pumps,0.06,-1.44
Guyana,Central and South America,Downstream oil,Downstream,Oil,Vapour recovery units,0.07,-1.44
Nigeria,Africa,Onshore conventional gas,Upstream,Gas,Replace pumps,6.25,-1.44
Mozambique,Africa,Onshore conventional gas,Upstream,Gas,Replace pumps,0.66,-1.44
New Zealand,Asia Pacific,Downstream gas,Downstream,Gas,Vapour recovery units,0.01,-1.44
Other,Other,Downstream oil,Downstream,Oil,Vapour recovery units,0.07,-1.44
United Kingdom,Europe,Unconventional gas,Upstream,Gas,Install plunger,0.01,-1.44
Tanzania,Africa,Onshore conventional gas,Upstream,Gas,Replace pumps,0.18,-1.44
Turkmenistan,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Other,38.28,-1.43
Congo,Africa,Offshore oil,Upstream,Oil,Associated gas utilisation,47.45,-1.43
Cameroon,Africa,Offshore oil,Upstream,Oil,Replace with electric motor,1,-1.43
Germany,Europe,Downstream gas,Downstream,Gas,Continuous LDAR,4.61,-1.42
Germany,Europe,Downstream oil,Downstream,Oil,Continuous LDAR,0.2,-1.42
Morocco,Africa,Downstream oil,Downstream,Oil,Vapour recovery units,1.13,-1.41
Niger,Africa,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.84,-1.41
Angola,Africa,Downstream gas,Downstream,Gas,Replace with electric motor,0.47,-1.4
Germany,Europe,Unconventional gas,Upstream,Gas,Install plunger,0.02,-1.38
Germany,Europe,Onshore conventional gas,Upstream,Gas,Install plunger,0.12,-1.38
Other countries in Europe,Europe,Offshore gas,Upstream,Gas,Associated gas utilisation,1.06,-1.38
Russia,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Continuous LDAR,236.88,-1.38
Russia,Russia & Caspian,Unconventional gas,Upstream,Gas,Continuous LDAR,21.83,-1.38
Russia,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Continuous LDAR,261.36,-1.38
Azerbaijan,Russia & Caspian,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.23,-1.37
Gabon,Africa,Onshore conventional gas,Upstream,Gas,Other,0.04,-1.36
Kuwait,Middle East,Onshore conventional oil,Upstream,Oil,Replace with electric motor,101.46,-1.36
Other,Other,Onshore conventional gas,Upstream,Gas,Replace pumps,2.1,-1.36
Sweden,Europe,Downstream oil,Downstream,Oil,Continuous LDAR,0.03,-1.35
Sweden,Europe,Downstream gas,Downstream,Gas,Continuous LDAR,0.11,-1.35
Japan,Asia Pacific,Downstream gas,Downstream,Gas,Replace compressor seal or rod,9.82,-1.34
Australia,Asia Pacific,Downstream oil,Downstream,Oil,Vapour recovery units,0.82,-1.34
Bolivia,Central and South America,Downstream oil,Downstream,Oil,Vapour recovery units,1.14,-1.34
Canada,North America,Unconventional oil,Upstream,Oil,Replace pumps,29.5,-1.34
Canada,North America,Onshore conventional oil,Upstream,Oil,Replace pumps,208.4,-1.34
Algeria,Africa,Downstream gas,Downstream,Gas,Other,22.55,-1.33
Libya,Africa,Downstream gas,Downstream,Gas,Other,2.48,-1.33
Egypt,Africa,Downstream gas,Downstream,Gas,Other,15.7,-1.33
Tunisia,Africa,Downstream gas,Downstream,Gas,Other,2.21,-1.33
Other countries in Europe,Europe,Onshore conventional oil,Upstream,Oil,Vapour recovery units,8.96,-1.33
Morocco,Africa,Downstream gas,Downstream,Gas,Other,0.24,-1.33
Other,Other,Onshore conventional oil,Upstream,Oil,Replace with electric motor,1.48,-1.32
Russia,Russia & Caspian,Onshore conventional gas,Upstream,Gas,Vapour recovery units,124,-1.32
Equatorial Guinea,Africa,Offshore oil,Upstream,Oil,Replace compressor seal or rod,0.01,-1.32
Bangladesh,Asia Pacific,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.15,-1.31
Bolivia,Central and South America,Onshore conventional oil,Upstream,Oil,Replace pumps,4,-1.31
Cuba,Central and South America,Onshore conventional oil,Upstream,Oil,Replace pumps,1.52,-1.31
Ukraine,Europe,Downstream oil,Downstream,Oil,Associated gas utilisation,0.21,-1.31
Romania,Europe,Offshore oil,Upstream,Oil,Associated gas utilisation,2.18,-1.3
Mexico,North America,Onshore conventional oil,Upstream,Oil,Annual LDAR,0.78,-1.3
Mexico,North America,Unconventional gas,Upstream,Gas,Annual LDAR,0.01,-1.3
Mexico,North America,Onshore conventional gas,Upstream,Gas,Annual LDAR,0.43,-1.3
Estonia,Europe,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.13,-1.3
Germany,Europe,Offshore gas,Upstream,Gas,Continuous LDAR,0.01,-1.3
Germany,Europe,Offshore oil,Upstream,Oil,Continuous LDAR,0.18,-1.3
Israel,Europe,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.02,-1.3
Ecuador,Central and South America,Onshore conventional oil,Upstream,Oil,Replace with electric motor,45.95,-1.29
Brazil,Central and South America,Downstream gas,Downstream,Gas,Vapour recovery units,0.3,-1.29
Bahrain,Middle East,Downstream oil,Downstream,Oil,Vapour recovery units,0.06,-1.29
Norway,Europe,Downstream oil,Downstream,Oil,Vapour recovery units,0.05,-1.29
South Africa,Africa,Downstream oil,Downstream,Oil,Associated gas utilisation,0.17,-1.29
Thailand,Asia Pacific,Downstream gas,Downstream,Gas,Vapour recovery units,0.63,-1.29
Saudi Arabia,Middle East,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,30.81,-1.28
Ecuador,Central and South America,Offshore oil,Upstream,Oil,Replace with electric motor,0.04,-1.28
Germany,Europe,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.09,-1.28
Japan,Asia Pacific,Downstream oil,Downstream,Oil,Associated gas utilisation,0.18,-1.28
Kuwait,Middle East,Offshore oil,Upstream,Oil,Vapour recovery units,5.17,-1.28
Tunisia,Africa,Downstream gas,Downstream,Gas,Vapour recovery units,0.03,-1.27
Oman,Middle East,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,13.25,-1.27
Morocco,Africa,Onshore conventional oil,Upstream,Oil,Replace with electric motor,0.01,-1.27
Venezuela,Central and South America,Onshore conventional oil,Upstream,Oil,Replace pumps,305.19,-1.27
Other countries in Europe,Europe,Downstream gas,Downstream,Gas,Quarterly LDAR,11.97,-1.26
Other countries in Europe,Europe,Downstream oil,Downstream,Oil,Quarterly LDAR,0.55,-1.26
Cuba,Central and South America,Onshore conventional oil,Upstream,Oil,Other,0.52,-1.26
Kuwait,Middle East,Offshore oil,Upstream,Oil,Other,0.13,-1.25
France,Europe,Downstream oil,Downstream,Oil,Continuous LDAR,0.35,-1.25
France,Europe,Downstream gas,Downstream,Gas,Continuous LDAR,3.36,-1.25
Jordan,Middle East,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,0.06,-1.24
Italy,Europe,Onshore conventional oil,Upstream,Oil,Vapour recovery units,1.72,-1.24
Norway,Europe,Offshore oil,Upstream,Oil,Biannual LDAR,0.09,-1.24
Norway,Europe,Offshore gas,Upstream,Gas,Biannual LDAR,0.15,-1.24
New Zealand,Asia Pacific,Offshore oil,Upstream,Oil,Quarterly LDAR,0.13,-1.23
New Zealand,Asia Pacific,Offshore gas,Upstream,Gas,Quarterly LDAR,0.38,-1.23
Qatar,Middle East,Onshore conventional oil,Upstream,Oil,Associated gas utilisation,3.38,-1.23
Congo,Africa,Onshore conventional oil,Upstream,Oil,Replace with electric motor,4.61,-1.23
Brunei,Asia Pacific,Downstream gas,Downstream,Gas,Vapour recovery units,0.02,-1.22
Korea,Asia Pacific,Downstream oil,Downstream,Oil,Associated gas utilisation,0.15,-1.21
Other countries in Southeast Asia,Asia Pacific,Downstream gas,Downstream,Gas,Vapour recovery units,0.17,-1.21
Other,Other,Onshore conventional oil,Upstream,Oil,Other,0.18,-1.21
Norway,Europe,Offshore oil,Upstream,Oil,Other,0.07,-1.2
Italy,Europe,Offshore oil,Upstream,Oil,Quarterly LDAR,0.04,-1.2
Italy,Europe,Offshore gas,Upstream,Gas,Quarterly LDAR,0.09,-1.2
Canada,North America,Onshore conventional gas,Upstream,Gas,Replace pumps,6.38,-1.2
Canada,North America,Unconventional gas,Upstream,Gas,Replace pumps,18.44,-1.2
Argentina,Central and South America,Unconventional oil,Upstream,Oil,Replace pumps,79.99,-1.2
Argentina,Central and South America,Onshore conventional oil,Upstream,Oil,Replace pumps,35.17,-1.2
China,Asia Pacific,Downstream oil,Downstream,Oil,Associated gas utilisation,1.67,-1.19
Denmark,Europe,Offshore gas,Upstream,Gas,Associated gas utilisation,0.27,-1.19
Netherlands,Europe,Onshore conventional gas,Upstream,Gas,Install plunger,0.02,-1.19
Trinidad and Tobago,Central and South America,Onshore conventional oil,Upstream,Oil,Replace pumps,1.34,-1.19
Other,Other,Downstream gas,Downstream,Gas,Other,1.17,-1.18
Peru,Central and South America,Downstream gas,Downstream,Gas,Other,2.05,-1.17
Trinidad and Tobago,Central and South America,Downstream gas,Downstream,Gas,Other,4.08,-1.17
Denmark,Europe,Downstream oil,Downstream,Oil,Quarterly LDAR,0.07,-1.17
Denmark,Europe,Downstream gas,Downstream,Gas,Quarterly LDAR,0.59,-1.17
Cuba,Central and South America,Downstream gas,Downstream,Gas,Other,0.28,-1.17
Argentina,Central and South America,Downstream gas,Downstream,Gas,Other,20.47,-1.17
Bolivia,Central and South America,Downstream gas,Downstream,Gas,Other,2.29,-1.17
Ecuador,Central and South America,Downstream gas,Downstream,Gas,Other,0.17,-1.17
Uruguay,Central and South America,Downstream gas,Downstream,Gas,Other,0.05,-1.17
Venezuela,Central and South America,Downstream gas,Downstream,Gas,Other,17.35,-1.17
